framecount,velocity,heading,gain_v,gain_h,cumulative tail angle,pt_0,pt_1,pt_2,pt_3,pt_4,pt_5
1,0.0,0.0,1.0,1.0,-1.1112352333279554,[  0 276],[ 49 279],[ 93 256],[142 247],[190 236],[238 222]
2,0.0,-0.15153207727199391,1.0,1.0,-0.9907345659772446,[  0 276],[ 49 279],[ 93 256],[142 253],[190 242],[238 228]
3,0.0,-0.32884459745683087,1.0,1.0,-0.9907345659772446,[  0 276],[ 49 285],[ 93 262],[142 253],[190 242],[238 228]
4,0.0,-0.5098158407754675,1.0,1.0,-0.9021791924604217,[  0 276],[ 49 279],[ 93 256],[142 259],[186 236],[235 233]
5,0.0,-0.6813716856727632,1.0,1.0,-0.9316997215386421,[  0 276],[ 49 279],[ 90 251],[139 255],[184 233],[233 232]
6,0.0,-0.8433644087607624,1.0,1.0,-0.8011146871161265,[  0 276],[ 49 274],[ 97 264],[138 235],[187 232],[236 238]
7,0.0,-0.9898519806811203,1.0,1.0,-0.7548544790504876,[  0 276],[ 49 268],[ 97 257],[143 238],[192 228],[240 239]
8,0.0,-1.120861543077659,1.0,1.0,-0.9322123803601784,[  0 276],[ 49 274],[ 96 258],[140 234],[187 219],[235 231]
9,0.0,-1.2436548823678204,1.0,1.0,-0.9900560129275089,[  0 276],[ 49 274],[ 94 252],[140 233],[187 217],[235 228]
10,0.0,-1.3598177341180862,1.0,1.0,-1.2127523455729303,[  0 276],[ 49 279],[ 93 256],[136 231],[183 214],[232 218]
11,0.0,-1.4746501678174853,1.0,1.0,-1.2876653178314474,[  0 276],[ 49 279],[ 96 262],[139 237],[184 215],[233 214]
12,0.0,-1.5884373912463545,1.0,1.0,-1.4091570417490733,[  0 276],[ 49 279],[ 96 262],[139 237],[184 215],[233 208]
13,0.0,-1.7023779545013558,1.0,1.0,-1.3395418902249647,[  0 276],[ 49 279],[ 93 256],[139 236],[186 219],[235 211]
14,0.0,-1.8136021164450162,1.0,1.0,-1.4614985681948696,[  0 276],[ 49 279],[ 93 256],[139 236],[186 219],[234 205]
15,0.0,-1.9235553059010893,1.0,1.0,-1.42351728148409,[  0 276],[ 49 279],[ 93 256],[141 242],[186 220],[234 207]
16,0.0,-2.030600618156556,1.0,1.0,-1.2994452007883688,[  0 276],[ 49 274],[ 97 264],[141 240],[188 225],[236 213]
17,0.0,-2.132178077755931,1.0,1.0,-1.2958107067338376,[  0 276],[ 49 274],[ 96 258],[142 240],[189 225],[237 213]
18,0.0,-2.228255967525322,1.0,1.0,-1.3150077833728089,[  0 276],[ 49 274],[ 96 258],[144 245],[189 224],[237 212]
19,0.0,-2.3192166734635205,1.0,1.0,-1.2654768524604454,[  0 276],[ 49 279],[ 93 256],[142 247],[186 224],[235 215]
20,0.0,-2.4044882553370455,1.0,1.0,-1.2654768524604454,[  0 276],[ 49 279],[ 93 256],[142 247],[186 224],[235 215]
21,0.0,-2.49926437775562,1.0,1.0,-1.2889152074687191,[  0 276],[ 49 279],[ 96 262],[144 248],[189 226],[237 213]
22,0.0,-2.587847397783516,1.0,1.0,-1.2654768524604454,[  0 276],[ 49 279],[ 93 256],[142 247],[186 224],[235 215]
23,0.0,-2.6721239017154654,1.0,1.0,-1.296917901678426,[  0 276],[ 49 279],[ 93 256],[141 242],[188 226],[236 213]
24,0.0,-2.752914132594981,1.0,1.0,-1.2702216578921512,[  0 276],[ 49 279],[ 96 262],[142 243],[189 227],[237 214]
25,0.0,-2.8313785579231547,1.0,1.0,-1.2654768524604454,[  0 276],[ 49 279],[ 93 256],[142 247],[186 224],[235 215]
26,0.0,-2.907261360006792,1.0,1.0,-1.2471214643180508,[  0 276],[ 49 279],[ 93 256],[142 253],[186 230],[234 216]
27,0.0,-2.9823276361355795,1.0,1.0,-1.220425220531776,[  0 276],[ 49 279],[ 93 256],[142 253],[189 236],[235 217]
28,0.0,-3.056918397272858,1.0,1.0,-1.1125193903026798,[  0 276],[ 49 279],[ 93 256],[142 253],[189 236],[237 222]
